PSS10_avg,Dem_age
3.4,62
2.6,40
NA,58
3,30
2.1,59
3.4,29
2.5,70
3.9,27
1.9,44
2.8,36
2.1,76
4.4,25
3.6,66
3,34
2.9,23
3.5,57
2.5,57
3,31
2.3,28
2.9,54
3.9,19
2.6,40
3.9,20
3,42
1.4,32
3,19
3.5,18
2.7,45
2.7,51
2.4,30
3.1,32
2.3,31
2.4,25
3.7,57
3.2,24
3.2,25
NA,37
2.6,60
2.9,21
1.3,71
NA,56
2.3,64
1,65
2.4,25
2.5,36
3.1,32
4.3,58
3.8,18
3,69
NA,52
1.9,79
1.4,24
NA,40
2.2,66
2.5,30
3.2,50
NA,78
3.9,23
2.2,35
1.8,18
NA,20
3.7,52
2.6,61
2.8,23
2.3,30
3.1,25
2.4,30
3.2,19
2.1,27
2.6,74
2.3,43
2.9,22
3,31
NA,51
2.9,18
2.3,54
4,23
NA,39
3.4,45
2,55
3.2,41
3.4,35
2.4,31
1.9,45
1.4,49
1.6,57
2.2,33
3.8,39
2.5,55
3.4,32
2.3,29
2.4,35
2,37
4.1,27
2.1,38
1.2,46
3.1,27
2,27
2.9,23
3,61
2.8,46
3.2,34
1.5,73
2.1,62
2.3,53
2.2,41
1.5,40
4,19
1.9,59
2.7,48
3.9,30
3,27
2.6,46
NA,52
1.4,58
1.6,49
1.7,44
2.5,58
2.2,52
2.4,41
NA,40
2,33
3.2,33
2.4,22
2.4,53
3.2,68
3.3,50
3.5,29
4.3,33
3.3,26
3.6,36
3,21
1.2,67
1.2,55
3.4,41
NA,36
2.8,73
1.8,39
4.4,24
4.3,62
2,62
3.1,31
3.1,34
NA,46
2.9,60
2.4,20
2.1,52
2.5,40
3.1,58
2.6,57
1.7,64
2.3,32
4.1,62
2.8,49
1.1,53
NA,51
NA,57
NA,40
3.3,37
4.5,21
2,47
1.3,61
1.3,60
4.2,31
2.2,60
3.28571428571429,68
3,36
2.7,31
1.4,40
1,61
2.9,38
1.8,70
3.1,18
1.9,25
2.2,67
3.5,24
3.8,29
1.8,64
2.77777777777778,31
3.1,71
4.2,44
2.2,60
2,81
2.3,23
2.5,58
3.5,27
4.5,23
4.1,18
2.7,55
NA,52
2.5,28
2.9,31
1.6,21
4.33333333333333,18
3.4,31
1.4,63
2.22222222222222,67
2.9,53
2.7,18
2.44444444444444,49
1.8,42
4.1,23
NA,59
3.5,26
3.7,30
3,60
3.5,37
2.7,48
2.4,60
3,33
2.7,28
3.7,18
2.9,18
3.9,40
NA,43
2.7,29
2.6,70
3.1,70
2.11111111111111,54
2.9,22
1.5,53
2.6,47
1.7,39
2.6,46
2.4,58
2,62
2.1,57
1.9,46
3.6,38
2.7,54
2.5,65
3.33333333333333,67
3,51
2,68
2.1,44
2.5,52
2.5,51
1.4,57
2,59
2.9,24
3.6,47
1,59
1.8,73
2.5,21
1.4,24
2.7,50
2.5,35
NA,24
1.8,61
2.2,29
2.2,72
1.4,78
2.5,59
2.2,29
2.5,61
1.3,62
1.6,54
2.4,52
3.2,19
3.2,46
1.6,57
2.8,51
2.2,66
1.3,62
2.7,63
4.4,58
3.2,52
2.4,56
1.7,63
2.1,52
1.5,71
1.6,62
2.7,75
2.9,18
1.8,71
2.5,53
2.9,53
1.7,67
2.2,55
2.2,18
1.1,70
3.1,18
3,20
NA,30
2.7,62
1.7,45
3.7,19
1.8,67
3.5,58
1.6,56
2.66666666666667,19
3.1,56
1.2,61
3.3,24
1.3,71
1.5,55
2.1,20
2.4,69
2.1,18
3.7,18
1.9,34
2.55555555555556,38
2.125,45
NA,31
1.6,64
2.3,25
1.9,23
3.8,18
2.66666666666667,25
2.7,18
3.2,20
2.2,33
1.3,52
3.7,19
2.6,18
2.7,31
2.1,18
4.1,24
2.3,32
4.5,33
3,38
2.2,40
3.5,18
1.7,66
3.4,47
2.9,45
1.7,43
3.1,28
3.9,35
4.3,28
2.2,61
2.9,57
1.7,59
NA,37
2.8,30
2.4,24
2.5,38
2.4,23
3,26
NA,30
2.7,21
2.7,52
3.5,22
3.6,30
NA,18
4,37
2.8,38
2.1,39
2.3,37
2.6,45
NA,49
NA,49
2.6,57
1.7,63
2.4,50
2.9,25
1.8,38
4.1,58
2.1,59
NA,58
2.8,47
NA,62
2.4,49
NA,58
NA,36
4.4,45
3.4,69
2.8,54
1.8,48
4.3,19
3.6,47
2.5,18
2,49
2.6,24
NA,36
3.7,37
NA,70
3.1,49
NA,57
2.8,22
2.5,59
2.8,33
3.3,18
3.9,41
1.6,55
2.7,43
3.8,20
2.4,48
2.5,29
NA,58
1.6,21
2.9,29
2.7,64
2.9,18
2.8,18
2.9,25
2.5,45
1.9,60
2.3,44
3,37
1.6,62
2.3,18
2.4,35
2.6,45
3.7,51
2,18
2.8,22
2.9,42
2.5,53
3.9,36
1.9,56
3.5,30
3.7,19
2.9,74
2.7,19
2.3,47
2,42
2.7,48
1.5,36
2.4,23
2.4,44
1.4,48
3.4,45
3.1,18
2.1,42
3,24
2,42
3.14285714285714,66
3.1,18
1.5,39
2.9,36
2.3,58
2.33333333333333,66
2.55555555555556,53
2.8,37
3.7,30
1.3,37
2.88888888888889,34
3.2,29
2.16666666666667,32
3.8,46
3,48
2.2,18
1.7,45
4.1,18
2.7,19
2.5,67
2.7,67
2.5,48
2.5,48
3.2,31
1.6,58
2.3,48
2.4,36
2.3,49
3.9,19
2.3,36
NA,43
2.7,48
3.7,21
1.9,59
2.4,47
2.4,21
3.1,58
3.7,21
3.5,34
3.9,19
3.3,48
2.8,45
2.3,50
2.9,19
3.1,40
1.7,53
4.1,18
4,22
4,20
3.3,40
2.3,47
2.6,18
NA,27
NA,19
NA,30
1.8,45
NA,18
3.4,27
4.1,21
3.9,37
1.8,52
2.4,18
NA,67
4,24
2.3,26
3.3,18
4.3,23
2.8,22
3.8,18
4.5,18
2.1,56
1.4,67
3.3,31
4.1,18
1.8,42
3.1,44
1.6,18
1.2,19
NA,18
2.1,18
NA,18
2.2,18
3.9,19
3.1,18
2.8,54
3.3,19
4,20
NA,39
1.9,18
2.5,18
2.6,33
4.5,22
4.2,20
2.5,19
NA,29
NA,27
2.9,45
2.5,27
3.6,18
3.9,18
NA,18
3.8,18
2.2,18
1.5,18
3,18
3.9,18
1.8,18
3.1,18
3.8,18
3.7,27
3.4,18
3.3,18
3.3,19
3.1,18
4.5,24
2.7,18
2,18
2.9,18
4.2,18
3.3,18
1.9,18
3.6,18
3.6,18
2.5,18
3.2,18
4.3,28
NA,18
NA,18
2.7,18
3.6,19
1.5,19
2.3,18
3.1,18
3.6,20
2.6,18
3.2,18
2.6,18
3.4,18
2.7,18
2.4,19
1.7,18
NA,18
3.55555555555556,18
4.1,18
2.8,18
2.6,18
4.4,18
2.1,18
NA,18
NA,18
2.5,18
3.9,32
1.8,24
3,44
2.1,24
3.2,21
1.7,50
NA,23
NA,50
2.1,71
2.1,61
3.1,60
2.8,51
NA,30
2.4,47
2.6,59
1.8,62
3.2,50
2.66666666666667,69
2.5,60
2.8,45
3.1,21
2.7,59
2.9,35
2.7,34
3,59
2.3,60
3.1,38
2.4,64
2.5,42
2.9,60
2.5,47
3.9,20
3,33
2.9,54
3.6,35
1.4,63
2.7,22
3.3,44
1.5,62
3.5,40
2.8,37
3.4,25
4.6,22
NA,35
3.1,28
2.3,23
NA,40
3.2,43
3,19
3.4,36
4.1,24
2.6,63
NA,44
1.4,18
4,31
3.6,26
2.9,39
3.5,33
1.9,52
2.2,48
NA,64
2.6,60
3.5,32
1.8,52
3.5,39
3.2,19
2.8,46
3.9,23
4.6,59
3.9,23
3.2,40
2,62
3.3,47
3.4,30
2.1,38
3.4,21
3.3,20
2.1,30
2.2,64
4.3,20
2.1,67
3.3,20
2.1,51
3.6,49
4.1,21
1.7,68
3.8,21
2.2,59
3.7,25
2.7,21
3.2,39
3,50
2.9,58
4.6,35
2.5,33
2.1,61
NA,60
2,60
2.1,51
2.1,69
2.5,23
1.2,56
3.2,48
2.44444444444444,76
2,30
3.1,33
3.2,59
2.4,24
3.3,24
NA,59
2.5,38
2.9,26
2,37
1.6,63
4,21
